INFO 2026-06-16 15:20:38,558 Student list viewed
INFO 2026-06-16 15:20:50,208 Student list viewed
INFO 2026-06-16 15:21:59,925 Student list viewed
INFO 2026-06-16 15:32:01,404 Student list viewed
INFO 2026-06-16 15:32:50,579 Student list viewed
INFO 2026-06-16 15:34:23,453 Student list viewed
INFO 2026-06-16 15:36:19,303 Student list viewed
INFO 2026-06-16 15:36:50,465 Student list viewed
INFO 2026-06-16 15:38:25,432 Student list viewed
INFO 2026-06-16 15:39:48,197 Student list viewed
INFO 2026-06-16 15:40:09,250 Student added
INFO 2026-06-16 15:40:09,254 Student list viewed
INFO 2026-06-16 15:46:20,251 Student list viewed
INFO 2026-06-16 15:50:44,737 Student list viewed
INFO 2026-06-16 15:52:47,691 Student list viewed
INFO 2026-06-16 15:57:02,081 Student list viewed
INFO 2026-06-16 16:01:42,928 Student list viewed
INFO 2026-06-16 16:02:04,595 Teacher list viewed
INFO 2026-06-16 16:02:27,458 Teacher added
INFO 2026-06-16 16:02:27,470 Teacher list viewed
INFO 2026-06-16 16:04:47,274 Student list viewed
INFO 2026-06-16 16:05:06,071 Student list viewed
INFO 2026-06-16 16:05:15,366 Teacher list viewed
INFO 2026-06-16 16:06:19,901 Student list viewed
INFO 2026-06-16 16:08:49,690 Student list viewed
INFO 2026-06-16 16:09:26,919 Student list viewed
INFO 2026-06-16 16:09:40,984 Student list viewed
INFO 2026-06-16 16:12:00,732 Student list viewed
INFO 2026-06-16 16:12:01,748 Student list viewed
INFO 2026-06-16 16:12:13,241 Student list viewed
INFO 2026-06-16 16:15:52,127 Student list viewed
INFO 2026-06-16 16:16:29,201 Student list viewed
INFO 2026-06-16 16:16:51,913 Teacher list viewed
INFO 2026-06-16 16:19:34,727 Student list viewed
INFO 2026-06-16 16:19:39,825 Teacher list viewed
INFO 2026-06-16 16:19:42,737 Teacher list viewed
INFO 2026-06-16 16:19:43,623 Teacher list viewed
INFO 2026-06-16 16:19:44,004 Teacher list viewed
INFO 2026-06-16 16:19:44,223 Teacher list viewed
INFO 2026-06-16 16:20:43,294 Teacher list viewed
INFO 2026-06-16 16:21:51,430 Teacher list viewed
INFO 2026-06-16 16:25:18,394 Teacher list viewed
INFO 2026-06-16 16:26:01,294 Teacher list viewed
INFO 2026-06-16 16:26:08,305 Teacher list viewed
